x,y,z,g,wa,wr
107.0,104.0,75.0,139,90.0,90
101.0,61.0,75.0,139,90.0,90
100.0,47.0,75.0,139,90.0,90
98.0,24.0,75.0,139,90.0,90
98.0,24.0,53.0,139,90.0,90
98.0,24.0,41.0,139,90.0,90
98.0,24.0,26.0,139,90.0,90
98.0,64.0,26.0,139,90.0,90
100.0,107.0,26.0,139,90.0,90
91.0,134.0,26.0,139,90.0,90
78.0,155.0,26.0,139,90.0,90
78.0,155.0,44.0,139,90.0,90
78.0,155.0,58.0,139,90.0,90
78.0,155.0,83.0,139,90.0,90
78.0,155.0,115.0,139,90.0,90
78.0,155.0,152.0,139,90.0,90
78.0,155.0,170.0,139,90.0,90
70.0,134.0,171.0,139,90.0,90
64.0,114.0,171.0,139,90.0,90
64.0,94.0,171.0,139,90.0,90
65.0,70.0,171.0,139,90.0,90
60.0,46.0,171.0,139,90.0,90
54.0,37.0,171.0,139,90.0,90
51.0,21.0,171.0,139,90.0,90
50.0,17.0,171.0,139,90.0,90
51.0,14.0,154.0,139,90.0,90
51.0,14.0,128.0,139,90.0,90
51.0,14.0,109.0,139,90.0,90
51.0,14.0,97.0,139,90.0,90
51.0,14.0,75.0,139,90.0,90
51.0,14.0,62.0,139,90.0,90
51.0,14.0,53.0,139,90.0,90
51.0,14.0,36.0,139,90.0,90
51.0,14.0,25.0,139,90.0,90
55.0,38.0,21.0,139,90.0,90
56.0,44.0,21.0,139,90.0,90
63.0,61.0,21.0,139,90.0,90
67.0,74.0,21.0,139,90.0,90
79.0,89.0,21.0,139,90.0,90
90.0,100.0,21.0,139,90.0,90
90.0,102.0,31.0,139,90.0,90
90.0,102.0,45.0,139,90.0,90
90.0,102.0,60.0,139,90.0,90
90.0,102.0,85.0,139,90.0,90
90.0,102.0,101.0,139,90.0,90
